Year,Month,Day,Hour,Minute,Cloud Type,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,GHI
2017,1,1,0,0,1,168.89,0.128,1.8,1.137,309,91.39,6,980,0
2017,1,1,0,30,1,166.73,0.128,2,1.23,309,91.39,6,980,0
2017,1,1,1,0,1,162.25,0.128,2.3,1.325,302.1,91.88,6,980,0
2017,1,1,1,30,1,156.77,0.128,2.4,1.402,302.1,91.88,6,980,0
2017,1,1,2,0,1,150.87,0.128,2.5,1.479,307.1,92.83,6,980,0
2017,1,1,2,30,1,144.77,0.128,2.4,1.49,307.1,92.81,6,980,0
2017,1,1,3,0,1,138.59,0.128,2.3,1.501,316.8,93.35,6,980,0
2017,1,1,3,30,1,132.38,0.128,2.2,1.448,316.8,93.34,6,980,0
2017,1,1,4,0,1,126.18,0.128,2.1,1.396,326,92.48,6,980,0
2017,1,1,4,30,1,120.01,0.128,2.1,1.327,326,92.48,6,980,0
2017,1,1,5,0,1,113.91,0.128,2.1,1.259,336.6,92.12,6,980,0
2017,1,1,5,30,1,107.89,0.128,2,1.198,336.6,98.8,5,980,0
2017,1,1,6,0,1,101.97,0.128,2,1.139,347.4,97.84,5,980,0
2017,1,1,6,30,1,96.2,0.128,2.1,1.098,347.4,97.85,5,980,0
2017,1,1,7,0,1,90.59,0.128,2.2,1.058,4.4,93.47,6,980,0
2017,1,1,7,30,1,85.2,0.128,2.5,1.041,4.4,87.24,7,980,54
2017,1,1,8,0,1,80.07,0.128,2.8,1.025,11.9,84.05,8,980,136
2017,1,1,8,30,0,75.24,0.128,2.2,1.024,11.9,78.55,9,980,223
2017,1,1,9,0,0,70.8,0.128,1.6,1.024,0.8,73.7,10,980,307
2017,1,1,9,30,0,66.82,0.128,1.6,1.022,0.8,68.93,11,980,383
2017,1,1,10,0,1,63.39,0.128,1.7,1.022,274.8,63.65,12,980,457
2017,1,1,10,30,1,60.61,0.128,2.4,1.018,274.8,63.64,12,980,510
2017,1,1,11,0,1,58.56,0.128,3.2,1.016,262.2,59.6,13,980,546
2017,1,1,11,30,1,57.33,0.128,3.4,1.02,262.2,59.58,13,980,568
2017,1,1,12,0,0,56.98,0.128,3.6,1.025,259.5,56.61,14,980,574
2017,1,1,12,30,1,57.51,0.128,3.5,1.033,259.5,56.6,14,980,564
2017,1,1,13,0,1,58.91,0.128,3.5,1.042,252.9,57.23,14,980,539
