Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2014,1,1,0,0,0,0,0,0,1,168.92000000000002,0.122,1.5,0.998,47.1,58.86,10,990.0
2014,1,1,0,30,0,0,0,0,1,166.73,0.122,1.5,0.989,47.1,58.85,10,990.0
2014,1,1,1,0,0,0,0,0,0,162.24,0.122,1.6,0.98,50.7,54.02,10,990.0
2014,1,1,1,30,0,0,0,0,0,156.76,0.122,1.6,0.975,50.7,54.02,10,990.0
2014,1,1,2,0,0,0,0,0,-1,150.86,0.122,1.7000000000000002,0.97,47.6,49.22,10,990.0
2014,1,1,2,30,0,0,0,0,-1,144.76,0.122,1.7000000000000002,0.965,47.6,49.22,10,990.0
2014,1,1,3,0,0,0,0,0,-2,138.58,0.122,1.8,0.961,44.1,45.2,10,990.0
2014,1,1,3,30,0,0,0,0,-2,132.37,0.122,1.9000000000000001,0.9550000000000001,44.1,45.2,10,990.0
2014,1,1,4,0,0,0,0,0,-3,126.16,0.122,2.1,0.9490000000000001,44.0,42.39,10,990.0
2014,1,1,4,30,0,0,0,0,-3,120.0,0.122,2.3000000000000003,0.9410000000000001,44.0,42.4,10,990.0
2014,1,1,5,0,0,0,0,0,-3,113.89,0.122,2.5,0.933,46.5,40.47,10,990.0
2014,1,1,5,30,0,0,0,0,-3,107.87,0.122,2.7,0.918,46.5,40.480000000000004,10,990.0
2014,1,1,6,0,0,0,0,0,-4,101.96000000000001,0.122,3.0,0.904,49.900000000000006,39.32,10,990.0
2014,1,1,6,30,0,0,0,1,-4,96.19,0.122,3.2,0.882,49.900000000000006,39.32,10,990.0
2014,1,1,7,0,0,0,0,1,-3,90.58,0.122,3.5,0.861,51.800000000000004,37.84,11,990.0
2014,1,1,7,30,25,413,59,1,-3,85.2,0.122,3.8000000000000003,0.837,51.800000000000004,35.410000000000004,12,990.0
2014,1,1,8,0,40,615,146,0,-3,80.06,0.122,4.1000000000000005,0.8130000000000001,52.5,31.900000000000002,14,990.0
2014,1,1,8,30,50,732,236,1,-3,75.24,0.122,3.7,0.794,52.5,29.900000000000002,15,990.0
2014,1,1,9,0,57,807,322,0,-2,70.8,0.122,3.3000000000000003,0.775,54.1,28.47,17,990.0
2014,1,1,9,30,62,858,400,0,-2,66.83,0.122,2.9000000000000004,0.762,54.1,26.72,18,990.0
2014,1,1,10,0,66,893,466,0,0,63.4,0.122,2.5,0.75,67.0,26.14,20,990.0
2014,1,1,10,30,69,917,519,0,0,60.620000000000005,0.122,2.1,0.745,67.0,24.560000000000002,21,990.0
2014,1,1,11,0,71,931,557,0,-1,58.58,0.122,1.8,0.74,88.30000000000001,22.46,22,990.0
2014,1,1,11,30,72,939,579,0,-1,57.35,0.122,1.4000000000000001,0.743,88.30000000000001,22.45,22,990.0
2014,1,1,12,0,74,938,585,0,0,57.0,0.122,1.0,0.747,106.2,22.68,23,990.0
2014,1,1,12,30,73,934,575,0,0,57.54,0.122,0.7000000000000001,0.759,106.2,22.67,23,990.0
2014,1,1,13,0,72,922,548,0,0,58.95,0.122,0.5,0.772,121.5,23.92,23,990.0
2014,1,1,13,30,70,904,506,0,0,61.15,0.122,0.30000000000000004,0.788,121.5,23.92,23,980.0
2014,1,1,14,0,68,874,450,0,0,64.08,0.122,0.1,0.805,126.30000000000001,24.87,23,980.0
2014,1,1,14,30,64,834,381,0,0,67.63,0.122,0.30000000000000004,0.8230000000000001,126.30000000000001,26.43,22,990.0
2014,1,1,15,0,58,775,301,0,4,71.71000000000001,0.122,0.5,0.842,268.8,35.96,21,990.0
2014,1,1,15,30,50,691,214,0,4,76.24,0.122,0.5,0.86,268.8,40.72,19,990.0
2014,1,1,16,0,38,559,125,0,4,81.13,0.122,0.6000000000000001,0.879,302.7,45.85,17,990.0
2014,1,1,16,30,21,330,42,0,4,86.32000000000001,0.122,0.7000000000000001,0.895,302.7,48.89,16,990.0
2014,1,1,17,0,0,0,0,1,4,91.76,0.122,0.9,0.912,351.3,52.42,15,990.0
2014,1,1,17,30,0,0,0,1,4,97.4,0.122,1.0,0.923,351.3,55.94,14,990.0
2014,1,1,18,0,0,0,0,1,4,103.21000000000001,0.122,1.2000000000000002,0.934,17.7,58.18,14,990.0
2014,1,1,18,30,0,0,0,3,4,109.15,0.122,1.3,0.9380000000000001,17.7,62.120000000000005,13,990.0
2014,1,1,19,0,0,0,0,4,4,115.18,0.122,1.5,0.9430000000000001,30.6,60.0,13,990.0
2014,1,1,19,30,0,0,0,4,4,121.3,0.122,1.6,0.9460000000000001,30.6,60.0,13,990.0
2014,1,1,20,0,0,0,0,4,3,127.48,0.122,1.7000000000000002,0.9490000000000001,38.0,56.18,13,990.0
2014,1,1,20,30,0,0,0,1,3,133.68,0.122,1.8,0.9580000000000001,38.0,56.18,13,990.0
2014,1,1,21,0,0,0,0,0,2,139.89000000000001,0.122,1.9000000000000001,0.967,44.1,53.550000000000004,13,990.0
2014,1,1,21,30,0,0,0,0,2,146.06,0.122,1.9000000000000001,0.984,44.1,53.550000000000004,13,990.0
2014,1,1,22,0,0,0,0,0,2,152.12,0.122,2.0,1.0,48.900000000000006,51.95,13,990.0
2014,1,1,22,30,0,0,0,0,2,157.95000000000002,0.122,2.0,1.02,48.900000000000006,51.95,13,990.0
2014,1,1,23,0,0,0,0,0,2,163.27,0.122,2.1,1.042,54.400000000000006,50.88,13,990.0
2014,1,1,23,30,0,0,0,0,2,167.39000000000001,0.122,2.1,1.065,54.400000000000006,50.88,13,990.0
2014,1,2,0,0,0,0,0,0,1,168.84,0.122,2.1,1.088,62.0,50.13,13,990.0
2014,1,2,0,30,0,0,0,0,1,166.71,0.122,2.1,1.112,62.0,50.13,13,990.0
2014,1,2,1,0,0,0,0,0,1,162.26,0.122,2.1,1.1360000000000001,68.7,50.02,13,990.0
2014,1,2,1,30,0,0,0,0,1,156.8,0.122,2.0,1.161,68.7,50.02,13,990.0
2014,1,2,2,0,0,0,0,0,1,150.91,0.122,2.0,1.186,70.8,50.230000000000004,13,990.0
2014,1,2,2,30,0,0,0,0,1,144.81,0.122,2.0,1.212,70.8,53.64,12,990.0
2014,1,2,3,0,0,0,0,0,1,138.63,0.122,2.0,1.239,68.3,53.63,12,990.0
2014,1,2,3,30,0,0,0,0,1,132.42000000000002,0.122,2.1,1.264,68.3,53.63,12,990.0
2014,1,2,4,0,0,0,0,0,1,126.22,0.122,2.2,1.29,62.7,53.29,12,990.0
2014,1,2,4,30,0,0,0,0,1,120.05,0.122,2.3000000000000003,1.309,62.7,53.29,12,990.0
2014,1,2,5,0,0,0,0,0,1,113.95,0.122,2.4000000000000004,1.329,59.300000000000004,52.54,12,990.0
2014,1,2,5,30,0,0,0,0,1,107.92,0.122,2.5,1.341,59.300000000000004,52.550000000000004,12,990.0
2014,1,2,6,0,0,0,0,0,1,102.01,0.122,2.6,1.353,58.5,51.88,12,990.0
2014,1,2,6,30,0,0,0,1,1,96.23,0.122,2.7,1.358,58.5,51.89,12,990.0
2014,1,2,7,0,0,0,0,1,1,90.62,0.122,2.8000000000000003,1.364,57.1,49.07,13,990.0
2014,1,2,7,30,25,389,57,1,1,85.22,0.122,3.2,1.367,57.1,43.08,15,990.0
2014,1,2,8,0,40,586,141,1,1,80.08,0.122,3.7,1.37,55.400000000000006,38.37,17,990.0
2014,1,2,8,30,50,702,229,1,1,75.25,0.122,3.6,1.374,55.400000000000006,36.01,18,990.0
2014,1,2,9,0,58,775,313,0,2,70.8,0.122,3.5,1.3780000000000001,56.900000000000006,34.52,19,990.0
2014,1,2,9,30,63,826,389,0,2,66.81,0.122,3.0,1.383,56.900000000000006,32.42,20,990.0
2014,1,2,10,0,67,864,454,0,1,63.370000000000005,0.122,2.6,1.3880000000000001,77.9,28.07,22,990.0
2014,1,2,10,30,70,888,506,0,1,60.57,0.122,2.0,1.3940000000000001,77.9,26.400000000000002,22,990.0
2014,1,2,11,0,72,901,543,0,0,58.52,0.122,1.5,1.4000000000000001,99.5,23.35,23,990.0
2014,1,2,11,30,73,910,565,0,0,57.28,0.122,1.1,1.4060000000000001,99.5,23.330000000000002,23,980.0
2014,1,2,12,0,73,913,572,0,0,56.910000000000004,0.122,0.7000000000000001,1.413,126.10000000000001,22.59,24,980.0
2014,1,2,12,30,73,909,562,0,0,57.44,0.122,0.5,1.417,126.10000000000001,22.580000000000002,24,980.0
2014,1,2,13,0,69,905,538,0,0,58.83,0.122,0.4,1.422,201.4,21.39,25,980.0
2014,1,2,13,30,67,888,497,0,0,61.03,0.122,0.5,1.423,201.4,22.71,24,980.0
2014,1,2,14,0,64,863,443,0,1,63.95,0.122,0.7000000000000001,1.425,240.60000000000002,23.490000000000002,24,980.0
2014,1,2,14,30,60,826,376,0,1,67.49,0.122,0.8,1.425,240.60000000000002,24.95,23,980.0
2014,1,2,15,0,55,771,298,0,4,71.57000000000001,0.122,0.9,1.426,245.60000000000002,30.95,23,980.0
2014,1,2,15,30,47,691,213,0,4,76.10000000000001,0.122,0.7000000000000001,1.427,245.60000000000002,34.980000000000004,21,980.0
2014,1,2,16,0,37,559,125,0,4,80.99,0.122,0.6000000000000001,1.428,273.40000000000003,39.38,20,980.0
2014,1,2,16,30,21,341,43,1,4,86.18,0.122,0.6000000000000001,1.43,273.40000000000003,44.64,18,980.0
2014,1,2,17,0,0,0,0,3,4,91.62,0.122,0.7000000000000001,1.433,320.3,47.52,17,980.0
2014,1,2,17,30,0,0,0,7,4,97.26,0.122,0.7000000000000001,1.436,320.3,50.67,16,980.0
2014,1,2,18,0,0,0,0,7,4,103.07000000000001,0.122,0.8,1.44,356.20000000000005,50.84,15,980.0
2014,1,2,18,30,0,0,0,3,4,109.01,0.122,0.9,1.44,356.20000000000005,54.22,15,980.0
2014,1,2,19,0,0,0,0,3,4,115.05,0.122,1.1,1.442,22.0,51.94,15,980.0
