Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,GHI
2014,1,1,0,0,0,0,0,1,168.92,0.122,1.5,0.998,47.1,58.86,10,990,0
2014,1,1,0,30,0,0,0,1,166.73,0.122,1.5,0.989,47.1,58.85,10,990,0
2014,1,1,1,0,0,0,0,0,162.24,0.122,1.6,0.98,50.7,54.02,10,990,0
2014,1,1,1,30,0,0,0,0,156.76,0.122,1.6,0.975,50.7,54.02,10,990,0
2014,1,1,2,0,0,0,0,-1,150.86,0.122,1.7,0.97,47.6,49.22,10,990,0
2014,1,1,2,30,0,0,0,-1,144.76,0.122,1.7,0.965,47.6,49.22,10,990,0
2014,1,1,3,0,0,0,0,-2,138.58,0.122,1.8,0.961,44.1,45.2,10,990,0
2014,1,1,3,30,0,0,0,-2,132.37,0.122,1.9,0.955,44.1,45.2,10,990,0
2014,1,1,4,0,0,0,0,-3,126.16,0.122,2.1,0.949,44,42.39,10,990,0
2014,1,1,4,30,0,0,0,-3,120,0.122,2.3,0.941,44,42.4,10,990,0
2014,1,1,5,0,0,0,0,-3,113.89,0.122,2.5,0.933,46.5,40.47,10,990,0
2014,1,1,5,30,0,0,0,-3,107.87,0.122,2.7,0.918,46.5,40.48,10,990,0
2014,1,1,6,0,0,0,0,-4,101.96,0.122,3,0.904,49.9,39.32,10,990,0
2014,1,1,6,30,0,0,1,-4,96.19,0.122,3.2,0.882,49.9,39.32,10,990,0
2014,1,1,7,0,0,0,1,-3,90.58,0.122,3.5,0.861,51.8,37.84,11,990,0
2014,1,1,7,30,25,413,1,-3,85.2,0.122,3.8,0.837,51.8,35.41,12,990,59
2014,1,1,8,0,40,615,0,-3,80.06,0.122,4.1,0.813,52.5,31.9,14,990,146
2014,1,1,8,30,50,732,1,-3,75.24,0.122,3.7,0.794,52.5,29.9,15,990,236
2014,1,1,9,0,57,807,0,-2,70.8,0.122,3.3,0.775,54.1,28.47,17,990,322
2014,1,1,9,30,62,858,0,-2,66.83,0.122,2.9,0.762,54.1,26.72,18,990,400
2014,1,1,10,0,66,893,0,0,63.4,0.122,2.5,0.75,67,26.14,20,990,466
2014,1,1,10,30,69,917,0,0,60.62,0.122,2.1,0.745,67,24.56,21,990,519
2014,1,1,11,0,71,931,0,-1,58.58,0.122,1.8,0.74,88.3,22.46,22,990,557
2014,1,1,11,30,72,939,0,-1,57.35,0.122,1.4,0.743,88.3,22.45,22,990,579
2014,1,1,12,0,74,938,0,0,57,0.122,1,0.747,106.2,22.68,23,990,585
2014,1,1,12,30,73,934,0,0,57.54,0.122,0.7,0.759,106.2,22.67,23,990,575
2014,1,1,13,0,72,922,0,0,58.95,0.122,0.5,0.772,121.5,23.92,23,990,548
2014,1,1,13,30,70,904,0,0,61.15,0.122,0.3,0.788,121.5,23.92,23,980,506
2014,1,1,14,0,68,874,0,0,64.08,0.122,0.1,0.805,126.3,24.87,23,980,450
2014,1,1,14,30,64,834,0,0,67.63,0.122,0.3,0.823,126.3,26.43,22,990,381
2014,1,1,15,0,58,775,0,4,71.71,0.122,0.5,0.842,268.8,35.96,21,990,301
2014,1,1,15,30,50,691,0,4,76.24,0.122,0.5,0.86,268.8,40.72,19,990,214
2014,1,1,16,0,38,559,0,4,81.13,0.122,0.6,0.879,302.7,45.85,17,990,125
2014,1,1,16,30,21,330,0,4,86.32,0.122,0.7,0.895,302.7,48.89,16,990,42
2014,1,1,17,0,0,0,1,4,91.76,0.122,0.9,0.912,351.3,52.42,15,990,0
2014,1,1,17,30,0,0,1,4,97.4,0.122,1,0.923,351.3,55.94,14,990,0
2014,1,1,18,0,0,0,1,4,103.21,0.122,1.2,0.934,17.7,58.18,14,990,0
2014,1,1,18,30,0,0,3,4,109.15,0.122,1.3,0.938,17.7,62.12,13,990,0
2014,1,1,19,0,0,0,4,4,115.18,0.122,1.5,0.943,30.6,60,13,990,0
2014,1,1,19,30,0,0,4,4,121.3,0.122,1.6,0.946,30.6,60,13,990,0
2014,1,1,20,0,0,0,4,3,127.48,0.122,1.7,0.949,38,56.18,13,990,0
2014,1,1,20,30,0,0,1,3,133.68,0.122,1.8,0.958,38,56.18,13,990,0
