Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,0,0,0,1,3,168.89000000000001,0.128,1.8,1.137,309.0,91.39,6,980.0
2017,1,1,0,30,0,0,0,1,3,166.73,0.128,2.0,1.23,309.0,91.39,6,980.0
2017,1,1,1,0,0,0,0,1,3,162.25,0.128,2.3000000000000003,1.325,302.1,91.88,6,980.0
2017,1,1,1,30,0,0,0,1,3,156.77,0.128,2.4000000000000004,1.4020000000000001,302.1,91.88,6,980.0
2017,1,1,2,0,0,0,0,1,3,150.87,0.128,2.5,1.479,307.1,92.83,6,980.0
2017,1,1,2,30,0,0,0,1,3,144.77,0.128,2.4000000000000004,1.49,307.1,92.81,6,980.0
2017,1,1,3,0,0,0,0,1,4,138.59,0.128,2.3000000000000003,1.5010000000000001,316.8,93.35000000000001,6,980.0
2017,1,1,3,30,0,0,0,1,4,132.38,0.128,2.2,1.448,316.8,93.34,6,980.0
2017,1,1,4,0,0,0,0,1,3,126.18,0.128,2.1,1.3960000000000001,326.0,92.48,6,980.0
2017,1,1,4,30,0,0,0,1,3,120.01,0.128,2.1,1.327,326.0,92.48,6,980.0
2017,1,1,5,0,0,0,0,1,3,113.91,0.128,2.1,1.2590000000000001,336.6,92.12,6,980.0
2017,1,1,5,30,0,0,0,1,3,107.89,0.128,2.0,1.198,336.6,98.8,5,980.0
2017,1,1,6,0,0,0,0,1,3,101.97,0.128,2.0,1.139,347.40000000000003,97.84,5,980.0
2017,1,1,6,30,0,0,0,1,3,96.2,0.128,2.1,1.098,347.40000000000003,97.85000000000001,5,980.0
2017,1,1,7,0,0,0,0,1,4,90.59,0.128,2.2,1.058,4.4,93.47,6,980.0
2017,1,1,7,30,32,266,54,1,4,85.2,0.128,2.5,1.041,4.4,87.24,7,980.0
